Sigles Nom
CiU |Convergència i Unió|
ICV-EUiA-E |Iniciativa per Catalunya Verds-Esquerra Unida i Alternativa-Entesa|
UpB-ERC-Ri.Cat-DCat-AM |Unitat per Barcelona-Esquerra Republicana de Catalunya-Reagrupament-Democràcia Catalana-Acord Municipal|
PSC-PM |Partit dels Socialistes de Catalunya-Progrés Municipal|
PP |Partido Popular/Partit Popular|
PACMA |Partit Antitauri Contra el Maltractament Animal|
|FE de las JONS| |Falange Española de las JONS|
SAIn |Solidaridad y Autogestión Internacionalista|
LBB |La Barcelona dels Barris|
PxC |Plataforma per Catalunya|
PCPC |Partit Comunista del Poble de Catalunya|
C's |Ciutadans-Partido de la Ciudadanía|
SI |Solidaritat Catalana per la Independència|
PRE-IR |Partit Republicà d'Esquerra-Izquierda Republicana|
CUP-AxB |Candidatura d'Unitat Popular-Alternativa per Barcelona|
PDLPEA |Partido de los Pensionistas en Acción|
UPyD |Unión Progreso y Democracia|
Eb-CenB |Escons en Blanc-Ciudadanos en Blanco|
PFyV |Familia y Vida|
UCE |Unificación Comunista de España|
PH |Partit Humanista |
PIRATA.CAT |Pirates de Catalunya|
EV-GVE |Els Verds-Grup Verd Europeu|
PATO |Partido abre tus ojos|
PUM+J |Per un món més just|
PP |Partido Popular|
PSOE |Partido Socialista Obrero Español|
PSC |Partit dels Socialistes de Catalunya |
IU |Izquierda Unida|
CIU |Convergència i Unió|
UPyD |Unión, Progreso y Democracia|
PNV |Partido Nacionalista Vasco|
BILDU |BILDU (BILDU-EA-Alternatiba-Independientes)|
EA |Eusko Alkartasuna|
ERC-AM |Esquerra Republicana de Catalunya-Acord Municipal|
BNG |Bloque Nacionalista Galego|
ICV-EUIA-E |Iniciativa per Catalunya Verds - Esquerra Unida i Alternativa - Entesa |
PA |Partido Andalucista|
CC |Coalición Canaria|
BLOC-COMPROMÍS |Bloc Nacionalista Valencià - Coalició Compromís|
FAC |Foro Asturias de Ciudadanos|
UPN |Unión del Pueblo Navarro|
PAR |Partido Aragonés Regionalista|
PRC |Partido Regionalista de Cantabria|
CHA |Chunta Aragonesista|
