Dte. Barri AEB SC Electors Votants Abstenció CiU PSC-PM PP ICV-EUiA-E UpB-ERCRiDC CUP-AxB C's Eb-CenB SI EV-GVE PIRATA.CAT PACMA PxC PUM+J UPyD PDLPEA L.B.B. PCPC P.A.T.O. PRE-IR PH PFiV FE-JONS SAIn U.C.E. Blancs Nuls
BARCELONA    1.163.594 616.537 547.057 174.122 134.193 104.475 62.979 33.900 11.833 11.742 10.115 6.823 6.128 4.675 4.308 3.405 1.593 1.463 1.382 1.189 979 954 710 624 533 349 246 219 27.107 10.491
1 1 1 1 690 303 387 51 76 90 24 10 5 7 7 1 3 3 2 0 3 0 0 0 0 1 0 0 1 0 0 1 11 7
1 1 1 2 733 261 472 52 70 43 32 14 0 2 1 4 6 1 1 2 0 1 2 1 1 2 0 0 1 0 2 0 18 5
1 1 2 3 1.470 610 860 94 163 146 55 31 5 12 11 7 8 6 7 13 5 2 0 10 3 3 0 2 0 1 0 1 18 7
1 1 2 4 1.475 683 792 102 171 119 92 40 19 9 12 14 13 10 5 10 2 4 1 7 1 0 1 0 1 1 0 2 31 16
1 1 3 5 1.278 445 833 83 104 82 69 25 1 4 8 3 9 1 10 2 1 2 1 10 0 1 0 1 0 1 0 0 19 8
1 1 3 6 810 296 514 55 73 64 55 8 4 4 3 7 3 2 2 1 0 0 1 2 0 1 0 0 0 0 0 0 5 6
1 1 3 7 893 321 572 59 62 50 46 13 5 6 10 2 11 6 3 3 1 1 1 10 1 1 1 3 0 1 1 0 13 11
1 1 4 8 1.149 356 793 57 99 63 46 22 11 6 9 3 1 0 1 8 1 0 1 2 4 2 3 0 2 0 1 0 11 3
1 1 4 9 1.072 448 624 103 113 69 51 24 7 12 7 4 10 4 1 2 0 0 1 11 2 1 2 2 0 1 0 0 13 8
1 1 4 10 940 341 599 76 74 45 36 27 10 3 5 4 2 10 7 6 1 0 1 12 4 3 0 1 1 0 0 0 1 12
1 1 5 11 1.350 447 903 94 106 64 63 30 10 3 4 7 6 4 4 4 3 0 1 10 2 3 1 2 0 2 0 0 16 8
1 1 5 12 976 422 554 99 106 62 56 22 11 8 6 1 7 5 6 5 5 1 1 0 2 0 1 1 0 0 0 0 10 7
1 1 5 13 793 380 413 108 81 40 53 29 10 7 4 3 6 6 4 2 1 0 0 1 0 0 1 0 0 0 0 0 16 8
1 1 6 14 952 368 584 56 109 41 49 25 9 10 5 3 9 5 4 5 0 4 0 1 0 4 2 0 0 0 0 0 17 10
1 1 6 15 1.107 437 670 91 121 69 45 29 9 4 9 5 6 5 4 1 3 0 0 4 0 1 0 2 2 0 0 2 18 7
1 1 6 16 969 389 580 97 106 59 45 14 11 5 10 7 5 3 3 0 3 1 1 3 2 1 0 1 0 1 0 0 6 5
1 1 6 17 1.082 403 679 85 112 62 52 21 6 6 10 3 5 7 2 2 0 0 0 5 4 1 2 0 2 0 0 0 11 5
1 1 7 18 772 339 433 76 100 35 34 24 1 8 6 1 7 2 7 1 1 1 3 0 0 0 1 0 0 0 0 0 23 8
1 1 7 19 1.277 494 783 106 141 58 73 22 8 5 7 3 10 10 5 11 1 3 3 5 0 3 3 0 1 0 0 0 6 10
1 1 7 20 1.394 704 690 192 114 91 104 39 12 11 23 13 12 12 12 1 4 2 5 0 2 2 0 3 6 0 0 0 30 14
1 1 8 21 1.283 632 651 149 94 89 98 50 13 16 15 10 9 7 8 1 7 5 3 7 1 3 0 2 0 0 0 0 32 13
1 2 9 22 849 454 395 151 53 55 75 19 21 9 8 8 5 15 6 1 0 1 1 1 0 0 0 1 1 1 0 0 13 9
1 2 9 23 1.033 519 514 115 94 59 76 41 21 8 19 12 13 8 4 3 6 1 3 1 0 0 0 0 2 0 0 0 19 14
1 2 9 24 719 140 579 42 28 17 19 10 4 6 4 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 4 2
1 2 10 25 820 365 455 91 56 48 60 24 14 9 7 5 7 5 3 2 4 1 3 0 0 1 0 1 0 0 0 1 16 7
1 2 10 26 1.030 417 613 85 101 44 74 34 11 4 9 7 9 11 3 0 3 1 0 0 0 1 0 0 0 0 0 1 16 3
1 2 10 27 991 469 522 102 99 53 85 33 8 3 9 3 10 9 4 0 8 2 1 2 2 2 0 0 0 1 0 0 26 7
1 2 11 28 1.192 463 729 111 82 48 85 31 10 3 13 5 11 13 3 3 1 0 2 2 0 0 1 1 0 0 0 1 29 8
1 2 11 29 783 311 472 63 75 45 37 17 13 8 14 6 4 2 2 1 0 3 2 1 0 1 0 1 0 1 0 0 12 3
1 2 12 30 1.486 665 821 130 154 97 117 41 11 13 17 6 13 5 6 2 1 1 5 3 1 0 0 2 0 1 0 0 26 13
1 2 12 31 904 362 542 71 83 51 51 25 8 2 7 10 15 3 2 0 3 0 0 3 1 3 0 1 0 1 1 0 15 6
1 3 13 32 1.282 520 762 138 127 80 49 28 4 8 10 7 6 3 5 2 1 1 3 2 0 0 1 1 0 0 1 0 36 7
1 3 13 33 728 254 474 62 66 35 27 15 3 2 3 3 1 1 3 0 0 0 0 7 1 0 1 0 0 2 0 0 12 10
1 3 13 34 703 249 454 52 70 35 32 21 4 2 0 3 8 0 4 1 0 1 1 1 0 0 2 0 1 0 0 0 5 6
1 3 14 35 859 310 549 57 83 59 28 19 3 2 6 3 3 1 4 8 1 1 3 3 0 1 0 1 0 1 3 0 18 2
1 3 14 36 893 347 546 77 122 44 34 26 2 5 5 1 1 2 0 5 2 0 0 5 0 0 0 0 0 0 0 0 5 11
1 3 15 37 967 406 561 93 115 49 40 34 4 9 6 0 3 1 5 6 1 1 1 5 3 0 1 0 1 1 0 2 17 8
1 3 15 38 894 321 573 76 83 36 27 26 8 1 5 1 5 4 5 1 0 3 2 3 0 0 1 1 0 1 0 2 18 12
1 3 15 39 947 349 598 82 101 46 26 26 9 4 7 6 2 2 5 3 0 2 3 1 2 0 2 0 0 0 0 1 10 9
1 3 15 40 734 313 421 98 64 35 44 13 8 3 1 2 1 4 4 6 1 0 0 2 1 1 0 0 1 3 0 1 0 20
1 3 15 41 899 301 598 70 71 44 35 19 4 11 4 3 7 2 2 6 0 0 0 6 1 0 0 0 1 1 0 0 7 7
1 3 15 42 1.385 560 825 119 151 70 65 34 10 8 13 6 4 2 4 9 1 2 6 3 0 1 1 1 0 2 0 0 28 20
1 4 16 43 736 379 357 95 90 26 72 20 7 3 11 5 3 7 5 1 1 1 0 1 0 2 0 0 0 3 1 0 18 7
1 4 16 44 942 436 506 114 64 50 81 22 12 7 14 4 10 3 2 1 4 3 2 0 2 2 1 0 0 1 0 0 24 13
1 4 16 45 1.230 536 694 103 120 85 89 25 14 10 16 7 12 6 1 3 1 1 0 2 3 3 0 0 1 2 0 0 15 17
1 4 16 46 1.044 470 574 116 88 65 81 29 8 10 12 12 8 2 1 2 2 1 1 3 0 0 0 0 0 1 0 1 15 12
1 4 17 47 1.084 473 611 99 93 54 78 32 15 8 9 5 7 6 7 2 1 4 0 7 3 4 0 0 0 0 0 0 28 11
1 4 17 48 1.282 488 794 107 126 74 63 24 9 9 16 3 8 4 4 6 1 0 3 3 2 1 0 0 1 0 0 0 17 7
1 4 17 49 904 445 459 113 97 73 57 14 10 8 12 8 5 2 5 0 1 0 1 1 0 0 3 1 2 1 1 0 21 9
1 4 18 50 957 449 508 111 101 44 65 36 12 9 7 11 6 6 6 0 2 1 1 0 1 2 1 1 0 0 1 0 12 13
1 4 18 51 976 418 558 92 105 31 68 27 8 5 10 4 7 11 6 2 2 0 1 1 3 1 1 1 1 1 0 2 18 10
1 4 18 52 1.397 741 656 187 143 81 137 40 16 21 15 3 10 10 11 1 2 7 1 1 0 1 0 1 1 0 1 1 23 27
1 4 19 53 1.232 562 670 102 137 108 73 24 10 14 15 3 12 6 8 3 3 1 3 3 6 1 1 0 0 0 0 0 19 10
1 4 19 54 789 354 435 62 69 49 65 14 10 10 8 2 8 7 2 4 6 1 0 2 0 3 1 4 1 0 0 0 14 12
1 4 19 55 947 492 455 123 87 106 76 18 12 0 6 1 5 1 8 4 0 0 2 1 10 1 0 0 1 0 1 0 23 6
2 5 20 1 837 492 345 142 94 72 62 26 11 13 8 5 3 5 8 6 1 2 2 0 2 2 0 0 0 0 0 0 23 5
2 5 20 2 1.358 707 651 228 128 122 75 45 2 17 14 8 8 4 2 2 2 2 3 0 0 1 0 0 0 0 0 0 37 7
2 5 20 3 882 530 352 179 93 68 63 29 11 18 7 8 3 2 1 0 1 0 3 0 0 0 1 2 1 1 1 0 30 8
2 5 20 4 1.020 597 423 178 102 104 69 38 20 7 9 1 8 4 3 5 1 2 2 3 1 0 0 1 0 0 0 1 24 14
2 5 20 5 1.565 941 624 320 162 116 111 56 25 20 20 7 7 7 6 3 2 4 1 0 0 0 1 0 0 0 0 0 47 26
2 5 20 6 1.154 756 398 244 123 121 81 56 17 19 5 7 14 3 3 4 5 4 1 0 1 3 0 0 0 0 0 0 31 14
2 5 20 7 918 539 379 214 64 111 36 27 22 5 7 5 4 2 2 3 2 0 0 0 0 0 0 0 0 0 0 0 29 6
2 5 20 8 1.336 786 550 292 138 107 64 59 18 8 13 8 7 5 4 2 2 1 3 1 0 1 0 0 1 0 0 0 36 16
2 5 20 9 1.237 713 524 197 137 111 81 45 19 22 17 4 6 5 6 5 2 2 0 0 1 1 1 0 1 0 0 0 32 18
2 5 21 10 886 508 378 152 80 87 68 35 12 15 10 6 3 1 7 0 0 1 1 0 1 0 1 1 0 1 0 0 22 4
2 5 21 11 881 494 387 164 98 78 47 25 5 6 13 7 2 4 1 3 1 1 0 0 1 1 2 0 0 1 0 0 22 12
2 5 21 12 1.104 640 464 144 130 113 75 42 11 15 12 12 10 7 9 3 2 0 6 2 0 1 1 1 0 0 0 0 36 8
2 5 21 13 811 425 386 117 88 61 52 35 10 10 7 4 3 1 3 1 1 5 0 1 1 3 0 0 0 0 0 0 19 3
2 5 22 14 837 401 436 117 72 43 65 33 5 2 8 4 6 5 3 2 0 1 1 1 2 1 0 1 0 0 0 1 24 4
2 5 22 15 1.120 579 541 174 106 87 51 38 11 20 15 11 13 5 3 3 0 1 0 0 1 0 0 3 1 0 0 0 26 10
2 5 22 16 1.384 820 564 271 140 134 92 41 14 25 16 11 3 5 7 0 1 2 0 3 1 0 3 1 0 0 0 1 25 24
2 5 22 17 1.396 808 588 289 136 94 84 70 19 6 16 15 10 4 6 2 2 0 1 2 2 0 0 0 0 0 0 0 39 11
2 5 22 18 1.402 873 529 296 149 162 83 40 14 31 8 5 8 6 7 3 3 1 2 0 0 0 0 0 2 0 1 0 38 14
2 5 22 19 1.422 789 633 272 152 120 70 44 13 21 13 7 6 4 5 3 3 3 1 3 0 0 0 0 1 0 0 0 39 9
2 5 22 20 991 517 474 177 82 68 70 40 16 4 10 2 2 6 8 6 1 1 1 1 0 0 1 2 1 1 0 0 15 2
2 6 23 21 1.123 604 519 147 145 92 64 39 9 11 13 11 2 6 6 4 1 3 0 1 2 0 2 0 0 0 0 0 27 19
2 6 23 22 859 485 374 141 74 91 68 35 8 8 10 5 3 2 4 4 0 1 1 2 2 0 0 0 1 0 0 0 15 10
2 6 23 23 875 486 389 133 97 68 59 32 8 6 9 5 5 3 1 3 1 3 2 0 2 3 0 1 0 0 0 0 38 7
2 6 23 24 861 451 410 119 105 62 58 18 9 11 5 6 7 2 2 9 0 4 1 0 2 1 1 0 0 0 0 0 24 5
2 6 24 25 900 519 381 142 82 82 56 37 10 15 6 5 11 4 1 4 2 8 0 3 1 1 0 3 0 0 0 0 40 6
2 6 24 26 1.537 838 699 260 176 125 82 46 29 13 13 10 6 3 8 1 3 1 3 1 2 1 1 0 0 0 0 0 49 5
2 6 24 27 1.592 938 654 322 191 113 96 51 21 11 14 18 9 10 10 1 1 2 1 1 0 0 2 1 0 0 0 0 40 23
2 6 24 28 1.485 813 672 282 132 91 84 40 27 20 23 14 7 3 7 1 2 3 1 1 1 2 0 1 0 0 0 0 48 23
2 6 24 29 881 482 399 148 110 60 52 24 9 4 15 1 5 4 4 2 1 0 2 1 1 0 1 0 0 0 0 0 30 8
2 6 24 30 911 480 431 135 108 72 58 21 13 11 9 4 1 7 6 2 1 0 3 0 0 0 0 0 0 0 0 0 19 10
2 6 24 31 828 475 353 158 86 56 52 43 6 12 5 8 4 6 2 3 2 2 2 1 0 0 2 0 0 0 0 0 23 2
2 6 24 32 1.031 504 527 161 116 48 53 38 13 3 8 7 4 6 5 1 0 4 3 0 0 0 0 1 0 0 0 0 22 11
2 6 25 33 899 468 431 117 96 68 56 37 19 11 7 4 5 4 3 4 2 3 1 0 0 2 0 0 0 1 0 0 21 7
2 6 25 34 866 444 422 135 96 62 51 33 3 8 4 6 2 6 3 4 1 3 2 0 1 0 0 0 0 0 2 0 19 3
2 6 25 35 1.011 557 454 173 91 94 57 35 15 12 8 9 3 10 6 2 0 1 2 1 1 0 0 0 0 0 0 0 26 11
2 6 25 36 909 507 402 188 84 67 66 27 8 11 7 3 4 4 2 1 2 2 2 1 0 0 0 1 0 0 0 0 21 6
2 6 25 37 956 537 419 172 91 66 52 41 10 6 11 11 8 6 1 3 1 2 3 2 0 2 0 0 0 0 0 0 38 11
2 6 25 38 1.186 659 527 205 147 79 75 46 10 8 21 10 3 4 4 2 3 2 2 0 0 0 0 0 0 0 0 0 30 8
2 6 25 39 1.285 701 584 226 141 94 79 47 19 12 11 8 4 4 5 2 2 2 2 1 0 0 0 0 2 0 0 0 30 10
2 6 25 40 1.102 502 600 128 128 71 56 31 17 9 8 5 4 2 4 0 1 1 2 0 0 0 0 0 0 0 0 0 26 9
2 6 26 41 1.360 669 691 198 124 88 75 54 15 13 13 11 2 5 8 5 1 1 2 1 1 0 0 0 1 0 0 0 34 17
2 6 26 42 1.363 815 548 294 122 127 82 49 25 11 14 16 6 4 4 5 0 3 1 0 1 1 1 0 0 1 0 1 37 10
2 6 26 43 1.095 636 459 211 91 88 74 54 9 12 13 14 4 11 4 2 3 4 1 0 3 4 0 0 0 0 0 0 19 15
2 6 26 44 893 506 387 147 110 87 45 30 7 14 7 7 7 2 2 0 2 0 3 0 1 0 1 0 0 0 0 1 25 8
2 6 26 45 916 497 419 164 77 84 42 29 12 6 12 8 4 3 4 2 0 2 0 4 3 3 0 0 0 0 0 0 29 9
2 6 26 46 1.392 753 639 234 115 131 85 65 22 15 14 12 4 1 3 4 2 1 2 1 0 2 1 1 0 0 0 0 27 11
2 6 26 47 1.376 790 586 304 129 104 80 58 22 11 14 15 7 5 2 1 3 5 3 0 0 0 0 2 2 0 0 0 13 10
2 6 26 48 831 474 357 173 80 66 42 30 12 9 10 4 5 4 3 2 2 0 1 0 2 1 0 0 0 0 0 0 21 7
2 6 27 49 1.529 766 763 257 146 97 88 52 20 11 12 10 8 4 5 3 2 0 3 1 2 0 1 1 0 0 0 0 28 15
2 6 27 50 1.216 577 639 149 120 81 66 40 18 11 16 6 6 2 3 5 1 6 3 3 0 1 1 0 1 0 1 0 32 5
2 6 27 51 1.411 698 713 196 120 130 77 64 15 11 11 7 5 7 6 4 0 1 1 1 0 0 0 1 0 0 0 1 33 7
2 6 27 52 1.321 737 584 233 139 119 71 48 16 10 17 15 6 5 8 5 1 1 2 1 2 1 0 1 0 0 0 0 28 8
