Sigles Nom
PP |Partido Popular|
PSOE |Partido Socialista Obrero Español|
PSC |Partit dels Socialistes de Catalunya |
IU |Izquierda Unida|
C's Ciudadanos
CiU |Convergència i Unió|
PNV |Partido Nacionalista Vasco|
EA |Eusko Alkartasuna|
PA |Partido Andalucista|
BNG |Bloque Nacionalista Galego|
Cca |Coalición Canaria|
ICV-EUiA-E |Iniciativa per Catalunya Verds - Esquerra Unida i Alternativa - Entesa |
ERC |Esquerra Republicana de Catalunya|
CUP-PA |Candidatura d'Unitat Popular - Poble Actiu|
COMPROMÍS |Compromís (anteriorment BLOC)|
PAR |Partido Aragonés Regionalista|
PRC |Partido Regionalista Cántabro|
UPyD |Unión, Progreso y Democracia|
|EH BILDU| |Euskal Herria Bildu|
NC-FA |Nueva Canarias-Frente Amplio|
FAC |Foro de Ciudadanos|
CHA |Chunta Aragonesista|
MÉS |Més per Mallorca|
UPN |Unión del Pueblo Navarro|
