Sigles |Nom candidatura| |Nom candidat alcalde|
FC's |FUERZA CIUDADANA-FORÇA CIUTADANA| |KARL JACOBI|
BCAP-PRIMÀRIES |BARCELONA ÉS CAPITAL-PRIMÀRIES| |JORDI GRAUPERA GARCIA-MILÀ|
ERC+BCN-NOVA-AM |ESQUERRA REPUBLICANA-ERNEST MARAGALL ALCALDE+BARCELONA-NOVA-ACORD MUNICIPAL| |ERNEST MARAGALL I MIRA|
|BCN Canvi-Cs| |BARCELONA PEL CANVI-CIUTADANS| |MANUEL VALLS GALFETTI|
|Capgirem BCN-AMUNT| |CUP-CAPGIREM BARCELONA-ALTERNATIVA MUNICIPALISTA| |ANNA SALIENTE ANDRÉS|
PSC-CP |PARTIT DELS SOCIALISTES DE CATALUNYA-COMPROMÍS PER BARCELONA-UNITS-CANDIDATURA DE PROGRÉS| |JAUME COLLBONI CUADRADO|
PP |PARTIT POPULAR/PARTIDO POPULAR| |JOSÉ BOU VILA|
PACT ACTÚA |NÚRIA GONZÁLEZ LÓPEZ|
JUNTS JUNTS |JOAQUIM FORN CHIARIELLO|
|BARCELONA EN COMÚ-ECG| |BARCELONA EN COMÚ-EN COMÚ GUANYEM| |ADA COLAU BALLANO|
PACMA |PARTIT ANIMALISTA CONTRA EL MALTRACTAMENT ANIMAL-PACMA| |ANA BAYLE GARCIA|
CNV CONVERGENTS |TERESA MARIA PITARCH ALBOS|
PCPC |PARTIT COMUNISTA DEL POBLE DE CATALUNYA| |ALEJANDRO DE LA FUENTE GARCIA|
PFiV |PARTIT FAMILIA I VIDA| |RAMON CASALS LAMARCA|
|FE de las JONS| |FALANGE ESPAÑOLA DE LAS J.O.N.S.| |MANUEL ANDRINO LOBO|
dCIDE |dCIDE (DE CENTRO IZQUIERDA DE ESPAÑA)| |JUAN JOSÉ IBÁÑEZ ACEDO|
EB |ESCONS EN BLANC (ESCAÑOS EN BLANCO)| |SYLVIA TORRAS CREXELLS|
PUM+J |PER UN MÓN MÉS JUST| |MARIUS LUCIEN MAKON NKOYOCK|
P-LIB |PARTIT LLIBERTARI| |RAFAEL CABALLERO ROALES|
|N P R S| |NOSOTROS PARTIDO DE LA REGENERACIÓN SOCIAL| |LUIS JAVIER MUÑOZ CODORNIU|
EVE |ELS VERDS ECOPACIFISTES| |JOSEP LLUÍS FREIJO I LIZAN|
VOX VOX |IGNACIO GARRIGA VAZ DE CONCICAO|
P.D.S.J.E. |PARTIDO DEMÓCRATA SOCIAL JUBILADOS EUROPEOS| |SILVIA LAZAUSA JULVE|
|UNIDOS SI| |UNIDOS SI| |JULIO ANTONIO VILLACORTA GARCIA|
